"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",영등포구,여의동,14190,34452,16184,18268,34046,15967,18079,406,217,189
"합계",영등포구,당산1동,11958,21548,10339,11209,21099,10151,10948,449,188,261
"합계",영등포구,당산2동,18882,36714,17038,19676,36287,16865,19422,427,173,254
"합계",영등포구,양평1동,10094,18528,8773,9755,18251,8650,9601,277,123,154
"합계",영등포구,양평2동,11360,22818,10912,11906,22542,10817,11725,276,95,181
"합계",영등포구,신길1동,11663,20314,10383,9931,18991,9687,9304,1323,696,627
"합계",영등포구,신길3동,7762,17017,8481,8536,16019,7956,8063,998,525,473
"합계",영등포구,신길4동,5704,12533,6154,6379,11879,5825,6054,654,329,325
"합계",영등포구,신길5동,4449,10564,5203,5361,9539,4620,4919,1025,583,442
"합계",영등포구,신길6동,9156,18484,8939,9545,17747,8568,9179,737,371,366
"합계",영등포구,신길7동,7863,19662,9752,9910,19472,9661,9811,190,91,99
"합계",영등포구,대림1동,6770,15834,7949,7885,13222,6524,6698,2612,1425,1187
"합계",영등포구,대림2동,6821,17501,8868,8633,11490,5576,5914,6011,3292,2719
"합계",영등포구,대림3동,10227,24478,12267,12211,20904,10379,10525,3574,1888,1686
"합계",영등포구,영등포본동,10334,22106,11343,10763,20305,10386,9919,1801,957,844
"합계",영등포구,영등포동,22381,32090,16147,15943,31143,15744,15399,947,403,544
"합계",영등포구,도림동,9908,19636,9920,9716,17659,8939,8720,1977,981,996
"합계",영등포구,문래동,12983,31504,15334,16170,31281,15230,16051,223,104,119
"합계",동작구,소계,187189,385519,184910,200609,373084,179993,193091,12435,4917,7518
"합계",동작구,노량진2동,5510,8759,4634,4125,7815,4158,3657,944,476,468
"합계",동작구,상도1동,23040,46245,22006,24239,43944,21280,22664,2301,726,1575
"합계",동작구,상도2동,12376,27325,12891,14434,26899,12752,14147,426,139,287
"합계",동작구,상도3동,12225,23908,11254,12654,23446,11069,12377,462,185,277
"합계",동작구,상도4동,14761,29364,14176,15188,28888,14021,14867,476,155,321
"합계",동작구,사당1동,13929,22682,10840,11842,22191,10650,11541,491,190,301
"합계",동작구,사당3동,10371,23402,11281,12121,23171,11194,11977,231,87,144
"합계",동작구,사당4동,7273,13766,6548,7218,13579,6468,7111,187,80,107
"합계",동작구,사당5동,6668,13945,6663,7282,13826,6609,7217,119,54,65
"합계",동작구,대방동,16115,34249,16061,18188,33863,15897,17966,386,164,222
"합계",동작구,신대방1동,10405,24720,11924,12796,22843,10942,11901,1877,982,895
"합계",동작구,신대방2동,10950,22393,10621,11772,22104,10520,11584,289,101,188
"합계",동작구,흑석동,12992,32324,15132,17192,29899,14317,15582,2425,815,1610
"합계",동작구,노량진1동,18074,34344,17452,16892,32837,16833,16004,1507,619,888
"합계",동작구,사당2동,12500,28093,13427,14666,27779,13283,14496,314,144,170
"합계",관악구,소계,288753,497927,248517,249410,478282,240622,237660,19645,7895,11750
"합계",관악구,보라매동,12963,23613,11513,12100,23051,11261,11790,562,252,310
"합계",관악구,청림동,6347,14462,6875,7587,14316,6812,7504,146,63,83
"합계",관악구,행운동,18273,29203,14025,15178,28481,13784,14697,722,241,481
"합계",관악구,낙성대동,12432,18260,9198,9062,17546,8886,8660,714,312,402
"합계",관악구,중앙동,10517,15645,7387,8258,15193,7219,7974,452,168,284
"합계",관악구,인헌동,14934,25385,12239,13146,24909,12064,12845,476,175,301
"합계",관악구,남현동,9794,17491,8453,9038,17278,8372,8906,213,81,132
"합계",관악구,서원동,15458,23866,12370,11496,22851,12010,10841,1015,360,655
"합계",관악구,신원동,11318,18210,9211,8999,17247,8828,8419,963,383,580
"합계",관악구,서림동,15627,25072,13653,11419,23446,12999,10447,1626,654,972
"합계",관악구,신사동,14684,24329,12032,12297,22040,10965,11075,2289,1067,1222
"합계",관악구,신림동,19376,24395,12981,11414,23083,12547,10536,1312,434,878
"합계",관악구,난향동,6124,14564,7105,7459,14434,7044,7390,130,61,69
"합계",관악구,조원동,12520,21305,10544,10761,19694,9762,9932,1611,782,829
"합계",관악구,대학동,18204,28905,16727,12178,24774,15174,9600,4131,1553,2578
"합계",관악구,은천동,16059,32071,15605,16466,31495,15387,16108,576,218,358
"합계",관악구,성현동,12928,29884,14393,15491,29677,14304,15373,207,89,118
"합계",관악구,청룡동,24616,37121,17697,19424,35900,17244,18656,1221,453,768
"합계",관악구,난곡동,12714,24730,12271,12459,24272,12085,12187,458,186,272
"합계",관악구,삼성동,9831,20257,10045,10212,20089,9965,10124,168,80,88
"합계",관악구,미성동,14034,29159,14193,14966,28506,13910,14596,653,283,370
"합계",서초구,소계,173127,418029,198606,219423,413236,196315,216921,4793,2291,2502
"합계",서초구,서초1동,9546,20286,9719,10567,20059,9629,10430,227,90,137
"합계",서초구,서초2동,11454,25152,11812,13340,24749,11603,13146,403,209,194
"합계",서초구,서초3동,15564,32458,15307,17151,32047,15114,16933,411,193,218
"합계",서초구,서초4동,10631,30266,14772,15494,29989,14629,15360,277,143,134
"합계",서초구,잠원동,13425,34495,16570,17925,34237,16452,17785,258,118,140
"합계",서초구,반포본동,105,224,101,123,217,97,120,7,4,3
"합계",서초구,반포1동,14513,33836,16491,17345,33322,16281,17041,514,210,304
"합계",서초구,반포2동,8564,26578,12572,14006,26420,12495,13925,158,77,81
"합계",서초구,반포3동,8186,23647,11245,12402,23568,11208,12360,79,37,42
"합계",서초구,반포4동,6994,19149,8996,10153,18321,8540,9781,828,456,372
"합계",서초구,방배본동,7862,20212,9316,10896,20020,9220,10800,192,96,96
"합계",서초구,방배1동,7508,16503,7667,8836,16352,7604,8748,151,63,88
"합계",서초구,방배2동,7753,17719,8254,9465,17584,8195,9389,135,59,76
"합계",서초구,방배3동,5795,15737,7460,8277,15586,7397,8189,151,63,88
"합계",서초구,방배4동,9616,22904,10338,12566,22557,10185,12372,347,153,194
"합계",서초구,양재1동,17561,40991,19368,21623,40678,19231,21447,313,137,176
"합계",서초구,양재2동,10990,21062,10534,10528,20792,10385,10407,270,149,121
"합계",서초구,내곡동,7060,16810,8084,8726,16738,8050,8688,72,34,38
"합계",강남구,소계,245450,562582,268770,293812,556462,265939,290523,6120,2831,3289
"합계",강남구,신사동,6542,15323,7155,8168,15108,7044,8064,215,111,104
"합계",강남구,개포3동,7314,16562,7987,8575,16482,7955,8527,80,32,48
"합계",강남구,논현1동,13483,21598,10175,11423,20737,9829,10908,861,346,515
"합계",강남구,논현2동,11189,20514,9545,10969,20118,9366,10752,396,179,217
"합계",강남구,삼성1동,5501,13086,6429,6657,12758,6200,6558,328,229,99
"합계",강남구,삼성2동,13779,30592,14606,15986,30280,14447,15833,312,159,153
"합계",강남구,대치1동,7221,23868,11984,11884,23825,11961,11864,43,23,20
"합계",강남구,대치4동,9702,18579,8835,9744,18240,8698,9542,339,137,202
"합계",강남구,역삼1동,23926,35687,17418,18269,34279,16829,17450,1408,589,819
"합계",강남구,역삼2동,15581,36545,16966,19579,36170,16809,19361,375,157,218
"합계",강남구,도곡1동,8360,20840,9791,11049,20712,9739,10973,128,52,76
"합계",강남구,도곡2동,11429,32272,14916,17356,32167,14853,17314,105,63,42
"합계",강남구,개포1동,9167,26790,12891,13899,26730,12863,13867,60,28,32
"합계",강남구,개포4동,10071,23190,11144,12046,23007,11068,11939,183,76,107
"합계",강남구,일원본동,7948,22437,11102,11335,22415,11093,11322,22,9,13
"합계",강남구,일원1동,7435,14270,6839,7431,14115,6777,7338,155,62,93
"합계",강남구,수서동,7638,13612,6129,7483,13531,6096,7435,81,33,48
"합계",강남구,세곡동,20291,46102,21537,24565,45908,21458,24450,194,79,115
"합계",강남구,압구정동,9942,25672,11956,13716,25461,11843,13618,211,113,98
"합계",강남구,청담동,10497,24091,11239,12852,23829,11089,12740,262,150,112
"합계",강남구,대치2동,13451,38705,19715,18990,38508,19586,18922,197,129,68
"합계",강남구,개포2동,14983,42247,20411,21836,42082,20336,21746,165,75,90
"합계",송파구,소계,286553,651463,311771,339692,645052,308877,336175,6411,2894,3517
"합계",송파구,풍납1동,5215,11307,5532,5775,10860,5302,5558,447,230,217
"합계",송파구,풍납2동,10441,23191,10956,12235,22963,10865,12098,228,91,137
"합계",송파구,거여1동,5598,11850,5848,6002,11755,5811,5944,95,37,58
"합계",송파구,거여2동,10054,23210,11185,12025,23109,11142,11967,101,43,58
"합계",송파구,마천1동,7268,15314,7819,7495,15168,7757,7411,146,62,84
"합계",송파구,마천2동,8410,17141,8711,8430,16983,8644,8339,158,67,91
"합계",송파구,방이1동,6179,15049,7202,7847,14945,7162,7783,104,40,64
"합계",송파구,방이2동,16062,26888,12089,14799,26170,11761,14409,718,328,390
"합계",송파구,오륜동,5853,17574,8645,8929,17542,8630,8912,32,15,17
"합계",송파구,오금동,15810,37551,18092,19459,37226,17933,19293,325,159,166
"합계",송파구,송파1동,12477,23153,10684,12469,22865,10550,12315,288,134,154
"합계",송파구,송파2동,7565,19511,9378,10133,19375,9315,10060,136,63,73
"합계",송파구,석촌동,17068,30742,14495,16247,30162,14253,15909,580,242,338
"합계",송파구,삼전동,16137,28819,13475,15344,28401,13300,15101,418,175,243
"합계",송파구,가락본동,11650,24884,12271,12613,24584,12143,12441,300,128,172
"합계",송파구,가락1동,9691,27355,13183,14172,26999,13002,13997,356,181,175
"합계",송파구,가락2동,12147,29947,14612,15335,29749,14526,15223,198,86,112
"합계",송파구,문정1동,8981,19827,9701,10126,19642,9613,10029,185,88,97
"합계",송파구,문정2동,15836,28907,13209,15698,28701,13118,15583,206,91,115
"합계",송파구,잠실본동,16167,27816,13104,14712,27290,12878,14412,526,226,300
"합계",송파구,잠실4동,7205,21023,10170,10853,20974,10148,10826,49,22,27
"합계",송파구,잠실6동,5829,16473,7823,8650,16249,7701,8548,224,122,102
"합계",송파구,잠실7동,3366,9367,4345,5022,9349,4336,5013,18,9,9
"합계",송파구,잠실2동,11539,34783,16638,18145,34682,16577,18105,101,61,40
"합계",송파구,잠실3동,11801,33698,15870,17828,33558,15795,17763,140,75,65
"합계",송파구,장지동,13195,30902,14827,16075,30720,14754,15966,182,73,109
"합계",송파구,위례동,15009,45181,21907,23274,45031,21861,23170,150,46,104
"합계",강동구,소계,222374,504038,245407,258631,499216,243301,255915,4822,2106,2716
"합계",강동구,명일1동,10032,24850,12153,12697,24748,12113,12635,102,40,62
"합계",강동구,명일2동,6392,16954,8268,8686,16852,8213,8639,102,55,47
"합계",강동구,고덕1동,8170,23804,12219,11585,23725,12180,11545,79,39,40
"합계",강동구,고덕2동,10326,26435,13191,13244,26223,13065,13158,212,126,86
"합계",강동구,암사2동,6408,14646,7098,7548,14574,7075,7499,72,23,49
"합계",강동구,암사3동,6035,16905,8232,8673,16873,8217,8656,32,15,17
"합계",강동구,천호1동,12863,25365,12357,13008,25066,12236,12830,299,121,178
"합계",강동구,천호3동,14935,26740,12763,13977,26114,12450,13664,626,313,313
"합계",강동구,성내1동,8186,19101,9096,10005,18943,9038,9905,158,58,100
"합계",강동구,성내2동,14060,24832,12029,12803,24187,11713,12474,645,316,329
"합계",강동구,성내3동,10595,21984,10651,11333,21591,10489,11102,393,162,231
"합계",강동구,둔촌1동,11915,32670,16061,16609,32530,16007,16523,140,54,86
"합계",강동구,둔촌2동,10942,25282,12331,12951,25144,12280,12864,138,51,87
"합계",강동구,암사1동,15848,33070,16278,16792,32747,16156,16591,323,122,201
"합계",강동구,천호2동,18759,35574,17254,18320,34921,16958,17963,653,296,357
"합계",강동구,길동,24241,48657,23446,25211,48208,23286,24922,449,160,289
"합계",강동구,강일동,13798,34601,16543,18058,34398,16475,17923,203,68,135
"합계",강동구,상일1동,13572,39171,19200,19971,39029,19131,19898,142,69,73
"합계",강동구,상일2동,5297,13397,6237,7160,13343,6219,7124,54,18,36
