"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10479,20202,9484,10718,19791,9323,10468,411,161,250
"합계",광진구,중곡3동,8425,15563,7595,7968,15229,7466,7763,334,129,205
"합계",광진구,중곡4동,12963,27238,13136,14102,26781,12953,13828,457,183,274
"합계",광진구,능동,6446,11344,5239,6105,10804,4988,5816,540,251,289
"합계",광진구,구의1동,13239,23657,11131,12526,22875,10806,12069,782,325,457
"합계",광진구,구의2동,11491,25557,12089,13468,24913,11821,13092,644,268,376
"합계",광진구,구의3동,12067,27810,13109,14701,27546,12995,14551,264,114,150
"합계",광진구,광장동,11679,33273,16111,17162,33017,15992,17025,256,119,137
"합계",광진구,자양1동,12110,22590,10797,11793,21573,10349,11224,1017,448,569
"합계",광진구,자양2동,12201,26718,12866,13852,26390,12722,13668,328,144,184
"합계",광진구,자양3동,10936,27110,12964,14146,26730,12789,13941,380,175,205
"합계",광진구,자양4동,11305,23517,11331,12186,19868,9704,10164,3649,1627,2022
"합계",동대문구,소계,175850,364829,175386,189443,344357,167961,176396,20472,7425,13047
"합계",동대문구,회기동,6585,13595,6020,7575,10150,4778,5372,3445,1242,2203
"합계",동대문구,휘경1동,8973,19038,8589,10449,16640,7777,8863,2398,812,1586
"합계",동대문구,휘경2동,12677,25052,12299,12753,23774,11880,11894,1278,419,859
"합계",동대문구,청량리동,9841,18713,9091,9622,18045,8837,9208,668,254,414
"합계",동대문구,용신동,0,1855,628,1227,0,0,0,1855,628,1227
"합계",동대문구,제기동,13043,25349,12548,12801,22596,11581,11015,2753,967,1786
"합계",동대문구,전농1동,16364,33285,16403,16882,32353,16055,16298,932,348,584
"합계",동대문구,전농2동,7396,17964,8494,9470,17412,8281,9131,552,213,339
"합계",동대문구,답십리2동,12646,27767,13264,14503,27379,13105,14274,388,159,229
"합계",동대문구,장안1동,18549,38024,18470,19554,37155,18165,18990,869,305,564
"합계",동대문구,장안2동,14794,33334,16349,16985,32868,16177,16691,466,172,294
"합계",동대문구,이문1동,11699,25143,11762,13381,21457,10405,11052,3686,1357,2329
"합계",동대문구,이문2동,8199,18973,9122,9851,18243,8755,9488,730,367,363
"합계",동대문구,답십리1동,12881,27791,13201,14590,27339,13019,14320,452,182,270
"합계",동대문구,용두동,12665,22547,11073,11474,22547,11073,11474,0,0,0
"합계",동대문구,신설동,9538,16399,8073,8326,16399,8073,8326,0,0,0
"합계",중랑구,소계,189015,383756,187020,196736,377054,184215,192839,6702,2805,3897
"합계",중랑구,면목2동,12067,23469,11567,11902,22998,11370,11628,471,197,274
"합계",중랑구,면목4동,8861,17949,8881,9068,17560,8716,8844,389,165,224
"합계",중랑구,면목5동,6311,14246,7014,7232,14078,6958,7120,168,56,112
"합계",중랑구,면목7동,10459,21018,10387,10631,20561,10195,10366,457,192,265
"합계",중랑구,상봉1동,10048,22785,11028,11757,22604,10957,11647,181,71,110
