"자치구별(1)","연령별(1)",연령별(2),2042,2042,2042
"자치구별(1)","연령별(1)",연령별(2),계,남자,여자
"종로구","10~14세",11세,469,233,236
"종로구","10~14세",12세,459,224,235
"종로구","10~14세",13세,440,214,226
"종로구","10~14세",14세,419,203,216
"종로구","15~19세",소계,2462,1115,1347
"종로구","15~19세",15세,402,195,207
"종로구","15~19세",16세,382,186,196
"종로구","15~19세",17세,400,193,207
"종로구","15~19세",18세,525,239,286
"종로구","15~19세",19세,753,302,451
"종로구","20~24세",소계,6885,3004,3881
"종로구","20~24세",20세,1024,444,580
"종로구","20~24세",21세,1154,488,666
"종로구","20~24세",22세,1367,610,757
"종로구","20~24세",23세,1578,686,892
"종로구","20~24세",24세,1762,776,986
"종로구","25~29세",소계,10239,4674,5565
"종로구","25~29세",25세,1938,853,1085
"종로구","25~29세",26세,2118,953,1165
"종로구","25~29세",27세,2106,980,1126
"종로구","25~29세",28세,2008,915,1093
"종로구","25~29세",29세,2069,973,1096
"종로구","30~34세",소계,8945,4222,4723
"종로구","30~34세",30세,1983,935,1048
"종로구","30~34세",31세,1904,888,1016
"종로구","30~34세",32세,1729,832,897
"종로구","30~34세",33세,1575,729,846
"종로구","30~34세",34세,1754,838,916
"종로구","35~39세",소계,7160,3375,3785
"종로구","35~39세",35세,1426,665,761
"종로구","35~39세",36세,1459,688,771
"종로구","35~39세",37세,1319,618,701
"종로구","35~39세",38세,1496,714,782
"종로구","35~39세",39세,1460,690,770
"종로구","40~44세",소계,8406,3968,4438
"종로구","40~44세",40세,1475,697,778
"종로구","40~44세",41세,1735,814,921
"종로구","40~44세",42세,1700,808,892
"종로구","40~44세",43세,1723,813,910
"종로구","40~44세",44세,1773,836,937
"종로구","45~49세",소계,9042,4409,4633
"종로구","45~49세",45세,1769,828,941
"종로구","45~49세",46세,1804,880,924
"종로구","45~49세",47세,1853,900,953
"종로구","45~49세",48세,1733,866,867
"종로구","45~49세",49세,1883,935,948
"종로구","50~54세",소계,8353,4165,4188
"종로구","50~54세",50세,1815,899,916
"종로구","50~54세",51세,1705,849,856
"종로구","50~54세",52세,1651,826,825
"종로구","50~54세",53세,1638,816,822
"종로구","50~54세",54세,1544,775,769
"종로구","55~59세",소계,8512,4216,4296
"종로구","55~59세",55세,1648,792,856
"종로구","55~59세",56세,1611,809,802
"종로구","55~59세",57세,1631,795,836
"종로구","55~59세",58세,1781,897,884
"종로구","55~59세",59세,1841,923,918
"종로구","60~64세",소계,9290,4608,4682
"종로구","60~64세",60세,1979,978,1001
"종로구","60~64세",61세,1970,997,973
"종로구","60~64세",62세,1922,933,989
"종로구","60~64세",63세,1769,890,879
"종로구","60~64세",64세,1650,810,840
"종로구","65~69세",소계,8902,4386,4516
"종로구","65~69세",65세,1713,847,866
"종로구","65~69세",66세,1647,807,840
"종로구","65~69세",67세,1753,885,868
"종로구","65~69세",68세,1888,916,972
"종로구","65~69세",69세,1901,931,970
"종로구","70~74세",소계,9490,4530,4960
"종로구","70~74세",70세,1950,938,1012
"종로구","70~74세",71세,1987,989,998
"종로구","70~74세",72세,1888,896,992
"종로구","70~74세",73세,1926,923,1003
